Configuration,Perfect Accuracy,Off-by-One Accuracy,RMSE,MAE,Quadratic Weighted Kappa
zero_shot_temp0.1_cotYes_structuredYes,0.3109 ± 0.0797,0.7027 ± 0.0831,1.4079 ± 0.1657,1.0694 ± 0.1788,0.2347 ± 0.1180
one_shot_temp0.1_cotYes_structuredYes,0.3386 ± 0.0496,0.8087 ± 0.0368,1.2166 ± 0.1140,0.9033 ± 0.1039,0.3774 ± 0.1015
few_shot_temp0.1_cotYes_structuredYes,0.3731 ± 0.0486,0.8180 ± 0.0399,1.1854 ± 0.1183,0.8572 ± 0.0750,0.4127 ± 0.0794
multi_shot_temp0.1_cotYes_structuredYes,0.4170 ± 0.0731,0.8433 ± 0.0447,1.0807 ± 0.1286,0.7651 ± 0.1190,0.4072 ± 0.1100
zero_shot_temp0.2_cotYes_structuredYes,0.3039 ± 0.0862,0.6865 ± 0.0734,1.4306 ± 0.1355,1.0925 ± 0.1662,0.2178 ± 0.0909
one_shot_temp0.2_cotYes_structuredYes,0.3386 ± 0.0596,0.8156 ± 0.0445,1.2124 ± 0.1188,0.8988 ± 0.1101,0.3801 ± 0.0808
few_shot_temp0.2_cotYes_structuredYes,0.3801 ± 0.0339,0.8019 ± 0.0350,1.2030 ± 0.1158,0.8664 ± 0.0718,0.4126 ± 0.0737
multi_shot_temp0.2_cotYes_structuredYes,0.4078 ± 0.0552,0.8479 ± 0.0458,1.0838 ± 0.1293,0.7720 ± 0.1065,0.4193 ± 0.0968
zero_shot_temp0.3_cotYes_structuredYes,0.2948 ± 0.0767,0.7119 ± 0.0721,1.4143 ± 0.1448,1.0809 ± 0.1665,0.2304 ± 0.1064
one_shot_temp0.3_cotYes_structuredYes,0.3477 ± 0.0718,0.8111 ± 0.0495,1.2002 ± 0.1158,0.8872 ± 0.1175,0.3874 ± 0.0949
few_shot_temp0.3_cotYes_structuredYes,0.3732 ± 0.0319,0.8019 ± 0.0385,1.2001 ± 0.1251,0.8710 ± 0.0801,0.4009 ± 0.0793
multi_shot_temp0.3_cotYes_structuredYes,0.4169 ± 0.0484,0.8502 ± 0.0479,1.0819 ± 0.1276,0.7629 ± 0.0929,0.4142 ± 0.1110
zero_shot_temp0.4_cotYes_structuredYes,0.2924 ± 0.0720,0.7050 ± 0.0833,1.4185 ± 0.1440,1.0878 ± 0.1609,0.2253 ± 0.0954
one_shot_temp0.4_cotYes_structuredYes,0.3431 ± 0.0640,0.8133 ± 0.0382,1.2103 ± 0.0996,0.8942 ± 0.1031,0.3825 ± 0.0713
few_shot_temp0.4_cotYes_structuredYes,0.3777 ± 0.0414,0.8134 ± 0.0166,1.1962 ± 0.0949,0.8595 ± 0.0582,0.4133 ± 0.0630
multi_shot_temp0.4_cotYes_structuredYes,0.3940 ± 0.0595,0.8433 ± 0.0389,1.1086 ± 0.1138,0.7950 ± 0.0870,0.3895 ± 0.0889
zero_shot_temp0.5_cotYes_structuredYes,0.3132 ± 0.0763,0.7234 ± 0.0967,1.3621 ± 0.1979,1.0371 ± 0.2019,0.2594 ± 0.1320
one_shot_temp0.5_cotYes_structuredYes,0.3409 ± 0.0491,0.8156 ± 0.0468,1.1976 ± 0.1125,0.8895 ± 0.1000,0.3931 ± 0.0835
few_shot_temp0.5_cotYes_structuredYes,0.3732 ± 0.0365,0.7995 ± 0.0329,1.2083 ± 0.1206,0.8756 ± 0.0728,0.4119 ± 0.0866
multi_shot_temp0.5_cotYes_structuredYes,0.4353 ± 0.0484,0.8456 ± 0.0487,1.0732 ± 0.1379,0.7467 ± 0.1085,0.4279 ± 0.1258
zero_shot_temp0.6_cotYes_structuredYes,0.3155 ± 0.0805,0.7119 ± 0.0974,1.3673 ± 0.1966,1.0418 ± 0.2020,0.2628 ± 0.1354
one_shot_temp0.6_cotYes_structuredYes,0.3431 ± 0.0739,0.8156 ± 0.0386,1.2107 ± 0.1169,0.8942 ± 0.1139,0.3858 ± 0.0767
few_shot_temp0.6_cotYes_structuredYes,0.3870 ± 0.0546,0.8110 ± 0.0339,1.1943 ± 0.1065,0.8526 ± 0.0709,0.4160 ± 0.0669
multi_shot_temp0.6_cotYes_structuredYes,0.3917 ± 0.0601,0.8479 ± 0.0294,1.0788 ± 0.0946,0.7812 ± 0.0955,0.4120 ± 0.0821
zero_shot_temp0.7_cotYes_structuredYes,0.2878 ± 0.0774,0.7235 ± 0.0730,1.3917 ± 0.1227,1.0670 ± 0.1502,0.2582 ± 0.0946
one_shot_temp0.7_cotYes_structuredYes,0.3317 ± 0.0746,0.7949 ± 0.0490,1.2527 ± 0.1343,0.9332 ± 0.1391,0.3570 ± 0.1068
few_shot_temp0.7_cotYes_structuredYes,0.3615 ± 0.0698,0.8295 ± 0.0321,1.1869 ± 0.1030,0.8620 ± 0.0927,0.4279 ± 0.0616
multi_shot_temp0.7_cotYes_structuredYes,0.4216 ± 0.0571,0.8248 ± 0.0557,1.1082 ± 0.1371,0.7812 ± 0.1141,0.3926 ± 0.1183
zero_shot_temp0.8_cotYes_structuredYes,0.3132 ± 0.0650,0.7327 ± 0.0646,1.3675 ± 0.1399,1.0325 ± 0.1432,0.2522 ± 0.1076
one_shot_temp0.8_cotYes_structuredYes,0.3478 ± 0.0691,0.8041 ± 0.0438,1.2149 ± 0.1002,0.8963 ± 0.1167,0.3842 ± 0.0801
few_shot_temp0.8_cotYes_structuredYes,0.3732 ± 0.0190,0.8088 ± 0.0365,1.2033 ± 0.1014,0.8686 ± 0.0585,0.3924 ± 0.0724
