Configuration,Exact Accuracy,±1 Accuracy,±2 Accuracy,RMSE,Cohen's Kappa,Weighted Kappa,Pearson r
zero_shot_temp0.2_cotYes_structuredYes,0.3444 ± 0.0340,0.7580 ± 0.0513,0.9462 ± 0.0296,1.2842 ± 0.0340,0.0682 ± 0.0539,0.2255 ± 0.0728,0.4007 ± 0.1066
one_shot_temp0.2_cotYes_structuredYes,0.3282 ± 0.0477,0.8765 ± 0.0397,0.9731 ± 0.0171,1.0824 ± 0.0717,0.0835 ± 0.0646,0.3770 ± 0.0847,0.4177 ± 0.0758
few_shot_temp0.2_cotYes_structuredYes,0.3438 ± 0.0675,0.8815 ± 0.0282,0.9677 ± 0.0109,1.0815 ± 0.0594,0.1170 ± 0.1092,0.3591 ± 0.0966,0.3710 ± 0.0937
multi_shot_temp0.2_cotYes_structuredYes,0.3599 ± 0.0323,0.9141 ± 0.0394,0.9946 ± 0.0108,0.9585 ± 0.0789,0.0957 ± 0.0704,0.2995 ± 0.1326,0.3244 ± 0.1415
zero_shot_temp0.4_cotYes_structuredYes,0.3065 ± 0.0226,0.7472 ± 0.0505,0.9462 ± 0.0171,1.3112 ± 0.0357,0.0261 ± 0.0532,0.1973 ± 0.0626,0.3362 ± 0.0971
one_shot_temp0.4_cotYes_structuredYes,0.3334 ± 0.0445,0.8603 ± 0.0194,0.9731 ± 0.0171,1.1032 ± 0.0539,0.1082 ± 0.0479,0.3617 ± 0.0655,0.3901 ± 0.0716
few_shot_temp0.4_cotYes_structuredYes,0.3336 ± 0.0485,0.8713 ± 0.0567,0.9839 ± 0.0131,1.0568 ± 0.1271,0.0898 ± 0.0642,0.3657 ± 0.1000,0.3773 ± 0.0942
multi_shot_temp0.4_cotYes_structuredYes,0.3707 ± 0.0470,0.9085 ± 0.0136,0.9946 ± 0.0108,0.9630 ± 0.0582,0.0886 ± 0.0593,0.2799 ± 0.1323,0.3057 ± 0.1417
zero_shot_temp0.6_cotYes_structuredYes,0.3330 ± 0.0368,0.7849 ± 0.0172,0.9300 ± 0.0277,1.2871 ± 0.0739,0.0718 ± 0.0579,0.2200 ± 0.1027,0.3536 ± 0.1717
one_shot_temp0.6_cotYes_structuredYes,0.3818 ± 0.0580,0.8438 ± 0.0439,0.9677 ± 0.0109,1.1142 ± 0.0818,0.1492 ± 0.0773,0.3415 ± 0.1514,0.3755 ± 0.1395
few_shot_temp0.6_cotYes_structuredYes,0.3172 ± 0.0713,0.8442 ± 0.0518,0.9731 ± 0.0003,1.1293 ± 0.0953,0.0798 ± 0.1006,0.3267 ± 0.1211,0.3358 ± 0.1177
multi_shot_temp0.6_cotYes_structuredYes,0.4028 ± 0.0558,0.9354 ± 0.0218,0.9946 ± 0.0108,0.9012 ± 0.0763,0.1489 ± 0.0532,0.3942 ± 0.0636,0.4302 ± 0.0612
zero_shot_temp0.8_cotYes_structuredYes,0.3115 ± 0.0411,0.7797 ± 0.0427,0.9569 ± 0.0217,1.2492 ± 0.0663,0.0524 ± 0.0516,0.2539 ± 0.0616,0.4005 ± 0.0855
one_shot_temp0.8_cotYes_structuredYes,0.3548 ± 0.0388,0.8708 ± 0.0209,0.9515 ± 0.0204,1.1274 ± 0.0651,0.1297 ± 0.0367,0.3491 ± 0.0485,0.3965 ± 0.0674
few_shot_temp0.8_cotYes_structuredYes,0.4134 ± 0.0825,0.8549 ± 0.0469,0.9785 ± 0.0202,1.0596 ± 0.0806,0.1867 ± 0.1178,0.3565 ± 0.0656,0.3654 ± 0.0627
multi_shot_temp0.8_cotYes_structuredYes,0.4246 ± 0.0782,0.8818 ± 0.0364,0.9946 ± 0.0108,0.9740 ± 0.0909,0.1801 ± 0.1252,0.3315 ± 0.1230,0.3570 ± 0.1344
