Category,Metric,few_shot_temp0.6_cotYes_structuredYes.json,multi_shot_temp0.6_cotYes_structuredYes.json,one_shot_temp0.6_cotYes_structuredYes.json,zero_shot_temp0.6_cotYes_structuredYes.json
curiosity,accuracy,0.4464 ± 0.0416,0.4624 ± 0.0581,0.3983 ± 0.0647,0.2900 ± 0.0849
curiosity,mae,0.7252 ± 0.0747,0.6936 ± 0.1003,0.8600 ± 0.1524,0.9576 ± 0.1093
curiosity,mse,1.1112 ± 0.2019,1.0057 ± 0.2089,1.4523 ± 0.4020,1.5710 ± 0.2196
curiosity,off_by_one_accuracy,0.8499 ± 0.0562,0.8440 ± 0.0580,0.7795 ± 0.0828,0.8114 ± 0.0624
curiosity,rmse,1.0498 ± 0.0955,0.9966 ± 0.1115,1.1941 ± 0.1630,1.2503 ± 0.0884
curiosity,weighted_kappa,0.3603 ± 0.0781,0.2991 ± 0.0949,0.3222 ± 0.0967,0.2871 ± 0.0761
story_class,accuracy,0.8010 ± 0.0370,0.7906 ± 0.0413,0.7959 ± 0.0492,0.8491 ± 0.0587
story_class,cohen_kappa,0.5689 ± 0.0820,0.5722 ± 0.0700,0.5419 ± 0.1207,0.6850 ± 0.1255
story_class,f1_score,0.7840 ± 0.0409,0.7832 ± 0.0374,0.7692 ± 0.0625,0.8399 ± 0.0644
story_class,precision,0.7827 ± 0.0433,0.7850 ± 0.0326,0.7836 ± 0.0477,0.8356 ± 0.0641
story_class,recall,0.7892 ± 0.0407,0.8001 ± 0.0286,0.7660 ± 0.0663,0.8705 ± 0.0577
story_class,roc_auc,0.7892 ± 0.0407,0.8001 ± 0.0286,0.7660 ± 0.0663,0.8705 ± 0.0577
story_class,weighted_kappa,0.5689 ± 0.0820,0.5722 ± 0.0700,0.5419 ± 0.1207,0.6850 ± 0.1255
surprise,accuracy,0.3283 ± 0.0684,0.3492 ± 0.0548,0.3496 ± 0.0494,0.3502 ± 0.0889
surprise,mae,0.8438 ± 0.1048,0.7364 ± 0.0557,0.8771 ± 0.1685,0.9442 ± 0.2077
surprise,mse,1.2632 ± 0.2272,0.9182 ± 0.1399,1.4495 ± 0.5584,1.6509 ± 0.5043
surprise,off_by_one_accuracy,0.8654 ± 0.0487,0.9196 ± 0.0372,0.8327 ± 0.0976,0.7644 ± 0.0974
surprise,rmse,1.1196 ± 0.0979,0.9554 ± 0.0736,1.1838 ± 0.2196,1.2710 ± 0.1884
surprise,weighted_kappa,0.2071 ± 0.1229,0.1776 ± 0.1296,0.2123 ± 0.1064,0.1775 ± 0.0655
suspense,accuracy,0.3171 ± 0.0802,0.4358 ± 0.0428,0.3017 ± 0.0688,0.2908 ± 0.0541
suspense,mae,0.7691 ± 0.1220,0.6286 ± 0.0491,0.8329 ± 0.0531,0.8706 ± 0.0756
suspense,mse,0.9523 ± 0.2090,0.7575 ± 0.0674,1.1344 ± 0.1399,1.2469 ± 0.1697
suspense,off_by_one_accuracy,0.9192 ± 0.0454,0.9356 ± 0.0127,0.8817 ± 0.0441,0.8656 ± 0.0296
suspense,rmse,0.9695 ± 0.1111,0.8695 ± 0.0384,1.0630 ± 0.0673,1.1140 ± 0.0777
suspense,weighted_kappa,0.2498 ± 0.1377,0.3007 ± 0.0826,0.2324 ± 0.0658,0.2341 ± 0.0716
