Category,Metric,few_shot_temp0.6_cotYes_structuredYes.json,multi_shot_temp0.6_cotYes_structuredYes.json,one_shot_temp0.6_cotYes_structuredYes.json,zero_shot_temp0.6_cotYes_structuredYes.json
curiosity,accuracy,0.4462,0.4624,0.3978,0.2903
curiosity,mae,0.7258,0.6935,0.8602,0.9570
curiosity,mse,1.1129,1.0054,1.4516,1.5699
curiosity,off_by_one_accuracy,0.8495,0.8441,0.7796,0.8118
curiosity,rmse,1.0549,1.0027,1.2048,1.2530
curiosity,weighted_kappa,0.3686,0.3057,0.3246,0.2882
story_class,accuracy,0.8011,0.7903,0.7957,0.8495
story_class,cohen_kappa,0.5777,0.5707,0.5483,0.6909
story_class,f1_score,0.7887,0.7835,0.7737,0.8443
story_class,precision,0.7854,0.7808,0.7837,0.8396
story_class,recall,0.7934,0.8005,0.7673,0.8627
story_class,roc_auc,0.7934,0.8005,0.7673,0.8627
story_class,weighted_kappa,0.5777,0.5707,0.5483,0.6909
surprise,accuracy,0.3280,0.3495,0.3495,0.3495
surprise,mae,0.8441,0.7366,0.8763,0.9462
surprise,mse,1.2634,0.9194,1.4462,1.6559
surprise,off_by_one_accuracy,0.8656,0.9194,0.8333,0.7634
surprise,rmse,1.1240,0.9588,1.2026,1.2868
surprise,weighted_kappa,0.2129,0.1916,0.2145,0.1747
suspense,accuracy,0.3172,0.4355,0.3011,0.2903
suspense,mae,0.7688,0.6290,0.8333,0.8710
suspense,mse,0.9516,0.7581,1.1344,1.2473
suspense,off_by_one_accuracy,0.9194,0.9355,0.8817,0.8656
suspense,rmse,0.9755,0.8707,1.0651,1.1168
suspense,weighted_kappa,0.2657,0.3105,0.2401,0.2372
