Category,Metric,few,multi,one,zero
curiosity,accuracy,0.3571,0.3542,0.2143,0.1607
curiosity,mae,0.8036,0.7708,1.3393,1.7143
curiosity,mse,1.1250,1.0208,2.7321,4.1786
curiosity,off_by_one_accuracy,0.8393,0.8750,0.5893,0.4464
curiosity,rmse,1.0607,1.0104,1.6529,2.0442
curiosity,weighted_kappa,0.1908,0.1662,0.1873,0.1170
story_class,accuracy,0.7143,0.7708,0.7143,0.6964
story_class,cohen_kappa,0.4204,0.5038,0.4189,0.3802
story_class,f1_score,0.7005,0.7460,0.6952,0.6656
story_class,precision,0.7451,0.7945,0.7626,0.7765
story_class,recall,0.7075,0.7393,0.7063,0.6865
story_class,roc_auc,0.7075,0.7393,0.7063,0.6865
story_class,weighted_kappa,0.4204,0.5038,0.4189,0.3802
surprise,accuracy,0.3929,0.4375,0.1964,0.1250
surprise,mae,0.9464,0.7292,1.1964,1.4821
surprise,mse,1.7321,1.1042,2.2321,3.3750
surprise,off_by_one_accuracy,0.7143,0.8542,0.7143,0.6429
surprise,rmse,1.3161,1.0508,1.4940,1.8371
surprise,weighted_kappa,0.1654,0.2513,0.1836,0.0964
suspense,accuracy,0.4464,0.5208,0.2143,0.1429
suspense,mae,0.8036,0.6042,1.1786,1.4464
suspense,mse,1.3750,0.8542,2.1786,3.0893
suspense,off_by_one_accuracy,0.7857,0.8750,0.6964,0.6250
suspense,rmse,1.1726,0.9242,1.4760,1.7576
suspense,weighted_kappa,0.2085,0.3236,0.1381,0.0928
