Configuration,Perfect Accuracy,Off-by-One Accuracy,RMSE,MAE,Quadratic Weighted Kappa
zero_shot_temp0.1_cotYes_structuredYes,0.3455 ± 0.0373,0.8133 ± 0.0313,1.1697 ± 0.0869,0.8735 ± 0.0754,0.4319 ± 0.0772
one_shot_temp0.1_cotYes_structuredYes,0.3018 ± 0.0225,0.7996 ± 0.0303,1.2029 ± 0.0491,0.9286 ± 0.0366,0.4453 ± 0.0409
few_shot_temp0.1_cotYes_structuredYes,0.3109 ± 0.0486,0.8226 ± 0.0331,1.1482 ± 0.0819,0.8872 ± 0.0807,0.4613 ± 0.0557
multi_shot_temp0.1_cotYes_structuredYes,0.4101 ± 0.0222,0.8478 ± 0.0342,1.0369 ± 0.0777,0.7491 ± 0.0626,0.4812 ± 0.0691
zero_shot_temp0.2_cotYes_structuredYes,0.3362 ± 0.0369,0.8088 ± 0.0224,1.1711 ± 0.0664,0.8827 ± 0.0582,0.4294 ± 0.0622
one_shot_temp0.2_cotYes_structuredYes,0.2949 ± 0.0149,0.8134 ± 0.0377,1.1833 ± 0.0536,0.9193 ± 0.0392,0.4576 ± 0.0525
few_shot_temp0.2_cotYes_structuredYes,0.3064 ± 0.0440,0.8157 ± 0.0289,1.1606 ± 0.0571,0.8987 ± 0.0578,0.4416 ± 0.0384
multi_shot_temp0.2_cotYes_structuredYes,0.4099 ± 0.0552,0.8570 ± 0.0433,1.0331 ± 0.0967,0.7446 ± 0.0917,0.4881 ± 0.0770
zero_shot_temp0.3_cotYes_structuredYes,0.3409 ± 0.0343,0.8249 ± 0.0232,1.1582 ± 0.0647,0.8665 ± 0.0605,0.4488 ± 0.0648
one_shot_temp0.3_cotYes_structuredYes,0.3018 ± 0.0236,0.8157 ± 0.0250,1.1824 ± 0.0547,0.9125 ± 0.0433,0.4534 ± 0.0403
few_shot_temp0.3_cotYes_structuredYes,0.3179 ± 0.0387,0.8110 ± 0.0348,1.1602 ± 0.0817,0.8918 ± 0.0788,0.4497 ± 0.0551
multi_shot_temp0.3_cotYes_structuredYes,0.4124 ± 0.0078,0.8501 ± 0.0477,1.0318 ± 0.0849,0.7444 ± 0.0505,0.4787 ± 0.0757
zero_shot_temp0.4_cotYes_structuredYes,0.3202 ± 0.0351,0.8249 ± 0.0305,1.1500 ± 0.0968,0.8803 ± 0.0839,0.4469 ± 0.0801
one_shot_temp0.4_cotYes_structuredYes,0.3040 ± 0.0304,0.7972 ± 0.0158,1.2004 ± 0.0419,0.9264 ± 0.0439,0.4441 ± 0.0346
few_shot_temp0.4_cotYes_structuredYes,0.3064 ± 0.0363,0.8249 ± 0.0338,1.1474 ± 0.0784,0.8895 ± 0.0668,0.4495 ± 0.0550
multi_shot_temp0.4_cotYes_structuredYes,0.3916 ± 0.0434,0.8524 ± 0.0413,1.0381 ± 0.0900,0.7629 ± 0.0781,0.4790 ± 0.0741
zero_shot_temp0.5_cotYes_structuredYes,0.3225 ± 0.0271,0.8202 ± 0.0283,1.1865 ± 0.0700,0.8965 ± 0.0629,0.4212 ± 0.0647
one_shot_temp0.5_cotYes_structuredYes,0.3018 ± 0.0219,0.8019 ± 0.0166,1.1908 ± 0.0379,0.9217 ± 0.0351,0.4454 ± 0.0312
few_shot_temp0.5_cotYes_structuredYes,0.3202 ± 0.0348,0.8156 ± 0.0323,1.1636 ± 0.0756,0.8895 ± 0.0710,0.4457 ± 0.0446
multi_shot_temp0.5_cotYes_structuredYes,0.4100 ± 0.0411,0.8570 ± 0.0451,1.0334 ± 0.0923,0.7445 ± 0.0810,0.4757 ± 0.0877
zero_shot_temp0.6_cotYes_structuredYes,0.3339 ± 0.0500,0.8226 ± 0.0447,1.1518 ± 0.1001,0.8712 ± 0.0965,0.4492 ± 0.0832
one_shot_temp0.6_cotYes_structuredYes,0.2948 ± 0.0249,0.8087 ± 0.0119,1.2042 ± 0.0377,0.9310 ± 0.0363,0.4437 ± 0.0392
few_shot_temp0.6_cotYes_structuredYes,0.3018 ± 0.0236,0.8087 ± 0.0403,1.1707 ± 0.0703,0.9102 ± 0.0560,0.4333 ± 0.0505
