Configuration,Perfect Accuracy,Off-by-One Accuracy,RMSE,MAE,Quadratic Weighted Kappa
zero_shot_temp0.1_cotYes_structuredYes,0.3732 ± 0.0680,0.7534 ± 0.0813,1.2832 ± 0.1545,0.9333 ± 0.1610,0.2590 ± 0.0988
one_shot_temp0.1_cotYes_structuredYes,0.3733 ± 0.0463,0.8133 ± 0.0446,1.1982 ± 0.0963,0.8641 ± 0.0970,0.3087 ± 0.0981
few_shot_temp0.1_cotYes_structuredYes,0.3733 ± 0.0662,0.8480 ± 0.0230,1.0876 ± 0.0895,0.7994 ± 0.0925,0.3655 ± 0.1079
multi_shot_temp0.1_cotYes_structuredYes,0.3940 ± 0.0486,0.8987 ± 0.0292,0.9751 ± 0.0726,0.7165 ± 0.0712,0.3840 ± 0.0896
zero_shot_temp0.2_cotYes_structuredYes,0.3594 ± 0.0669,0.7558 ± 0.0781,1.2821 ± 0.1476,0.9424 ± 0.1523,0.2620 ± 0.1026
one_shot_temp0.2_cotYes_structuredYes,0.3641 ± 0.0447,0.8018 ± 0.0405,1.2155 ± 0.1053,0.8848 ± 0.0961,0.3017 ± 0.0962
few_shot_temp0.2_cotYes_structuredYes,0.3548 ± 0.0584,0.8295 ± 0.0223,1.1351 ± 0.0799,0.8434 ± 0.0830,0.3321 ± 0.1073
multi_shot_temp0.2_cotYes_structuredYes,0.3895 ± 0.0528,0.8987 ± 0.0167,0.9779 ± 0.0653,0.7211 ± 0.0734,0.3824 ± 0.0872
zero_shot_temp0.3_cotYes_structuredYes,0.3686 ± 0.0526,0.7580 ± 0.0832,1.2791 ± 0.1589,0.9333 ± 0.1513,0.2732 ± 0.1141
one_shot_temp0.3_cotYes_structuredYes,0.3479 ± 0.0700,0.8041 ± 0.0319,1.2430 ± 0.1004,0.9102 ± 0.1134,0.2873 ± 0.1145
few_shot_temp0.3_cotYes_structuredYes,0.3547 ± 0.0567,0.8503 ± 0.0315,1.0967 ± 0.1062,0.8180 ± 0.0922,0.3515 ± 0.1157
multi_shot_temp0.3_cotYes_structuredYes,0.3987 ± 0.0437,0.8849 ± 0.0289,0.9942 ± 0.0660,0.7256 ± 0.0718,0.3708 ± 0.0779
zero_shot_temp0.4_cotYes_structuredYes,0.3525 ± 0.0487,0.7649 ± 0.0917,1.2860 ± 0.1608,0.9471 ± 0.1617,0.2523 ± 0.1048
one_shot_temp0.4_cotYes_structuredYes,0.3617 ± 0.0388,0.8018 ± 0.0250,1.2087 ± 0.0835,0.8825 ± 0.0756,0.3054 ± 0.0861
few_shot_temp0.4_cotYes_structuredYes,0.3640 ± 0.0551,0.8411 ± 0.0363,1.1045 ± 0.0885,0.8179 ± 0.0803,0.3492 ± 0.1141
multi_shot_temp0.4_cotYes_structuredYes,0.3664 ± 0.0467,0.8986 ± 0.0133,0.9851 ± 0.0424,0.7419 ± 0.0551,0.3790 ± 0.0510
zero_shot_temp0.5_cotYes_structuredYes,0.3640 ± 0.0457,0.7674 ± 0.0831,1.2669 ± 0.1463,0.9262 ± 0.1445,0.2696 ± 0.0992
one_shot_temp0.5_cotYes_structuredYes,0.3639 ± 0.0795,0.7971 ± 0.0485,1.2208 ± 0.1099,0.8896 ± 0.1273,0.2978 ± 0.1203
few_shot_temp0.5_cotYes_structuredYes,0.3387 ± 0.0529,0.8433 ± 0.0360,1.1181 ± 0.0880,0.8433 ± 0.0899,0.3427 ± 0.0945
multi_shot_temp0.5_cotYes_structuredYes,0.3733 ± 0.0429,0.8779 ± 0.0275,1.0009 ± 0.0501,0.7511 ± 0.0547,0.3477 ± 0.0625
